stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,8.842401417,9.335091459,9.335091459,9.350741792,9.620971084,right,10,1,1,0.669067791,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
1,2,8,10.04923771,10.53872829,10.53872829,10.53872829,10.83407887,right,8,1,1,0.483821124,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
2,2,6,11.05954567,11.53410767,11.53410767,11.55445496,11.8217975,right,6,1,1,0.497344999,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
3,2,4,12.04303183,12.53412029,12.53412029,12.53818354,12.82090483,left,-4,1,1,0.55663529,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
4,2,2,13.1106785,13.60075521,13.60075521,13.60521787,13.88850675,right,2,1,1,0.585477707,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
5,1,1,14.20071775,14.68416262,14.68416262,14.68882479,14.97085917,left,-1,0,0,2.098347791,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
6,1,2,16.79402129,17.28412833,17.28412833,17.28846396,17.57136546,left,-2,1,1,0.685566249,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
7,1,2,17.98424692,18.47123187,18.47123187,18.47123187,18.767505,right,2,1,1,0.540142874,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
8,1,2,19.02675217,19.51752571,19.51752571,19.52191371,19.8045785,right,2,1,1,0.530557708,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
9,1,1,20.06012025,20.55089392,20.55089392,20.55508275,20.8376335,right,1,1,1,0.701465041,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
10,1,1,21.26764696,21.75087683,21.75087683,21.75531621,22.03758254,right,1,1,1,0.468847874,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
11,1,1,22.23428271,22.71761454,22.71761454,22.72199621,23.00449917,left,-1,1,1,0.614535416,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
12,1,1,23.34327654,23.83423875,23.83423875,23.8382775,24.12099567,right,1,1,1,0.805302916,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
13,0.5,1,24.66011129,25.15099267,25.15099267,25.15616171,25.43764442,right,1,0,0,0.724298166,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
14,0.5,1.5,25.89393642,26.38426854,26.38426854,26.38846554,26.671026,right,1.5,1,1,0.671994416,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
15,0.5,1.5,27.0769625,27.56767512,27.56767512,27.57229425,27.854447,left,-1.5,0,0,0.452533791,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
16,0.5,2,28.03435704,28.51769533,28.51769533,28.52190662,28.80528417,left,-2,1,1,0.651480791,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
17,0.5,2,29.18431887,29.6677935,29.6677935,29.67277558,29.95469408,left,-2,1,1,0.648578833,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
18,0.5,2,30.32693304,30.81765912,30.81765912,30.82233,31.105079,left,-2,1,1,0.824427832,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
19,0.5,1.5,31.660158,32.15108325,32.15108325,32.15527471,32.43794812,left,-1.5,1,1,0.587982916,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
20,0.5,1.5,32.7600755,33.2510715,33.2510715,33.25526842,33.53860675,right,1.5,1,1,0.568623457,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
21,0.5,1.5,33.83424342,34.31781142,34.31781142,34.32189312,34.60456321,right,1.5,1,1,0.573190332,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
22,0.5,1,34.91000225,35.40105821,35.40105821,35.40533587,35.68828862,right,1,1,1,0.618419165,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
23,0.5,1,36.03447675,36.51783387,36.51783387,36.52197812,36.80465533,left,-1,1,1,0.606559124,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
24,0.5,1,37.14382,37.6345065,37.6345065,37.63865179,37.92079267,right,1,1,1,0.696544124,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
25,0.5,1,38.34335575,38.83443021,38.83443021,38.83839025,39.12181708,right,1,1,1,0.877754874,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
26,0.5,1,39.726738,40.21787783,40.21787783,40.22233083,40.50454775,right,1,1,1,0.563131749,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
27,0.5,1,40.79484304,41.28455679,41.28455679,41.28864858,41.57164437,left,-1,1,1,0.501508624,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
28,0.5,1,41.80114104,42.28456079,42.28456079,42.28897679,42.57165675,left,-1,1,1,0.527781207,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
29,0.5,1,42.82782992,43.31781883,43.31781883,43.32228879,43.60511117,left,-1,1,1,0.580773041,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
30,0.5,1,43.91111108,44.40125221,44.40125221,44.40542079,44.68797733,left,-1,1,1,0.491691707,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
31,0.5,1,44.9095085,45.40119512,45.40119512,45.40531229,45.68768812,right,1,1,1,0.591308582,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
32,0.5,1,46.01068129,46.49110792,46.49110792,46.49696729,46.78756492,right,1,1,1,0.675987582,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
33,0.5,1,47.17733229,47.667981,47.667981,47.67213458,47.95592317,right,1,1,1,0.611037083,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
34,0.5,1,48.294384,48.78461712,48.78461712,48.78952854,49.07147583,left,-1,1,1,0.631393082,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
35,0.5,1,49.42723333,49.91793154,49.91793154,49.92223525,50.2049515,right,1,1,1,0.623959207,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
36,0.5,1,50.56041642,51.05135187,51.05135187,51.05548479,51.33840637,right,1,1,1,0.824395166,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
37,0.5,1,51.89354762,52.38471296,52.38471296,52.38884404,52.67149992,right,1,1,1,0.519715749,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
38,0.5,1,52.91772779,53.40526454,53.40526454,53.40526454,53.70140496,left,-1,1,1,0.620228166,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
39,0.5,1,54.04406258,54.53464808,54.53464808,54.53866992,54.82180825,left,-1,1,1,0.523727666,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
40,0.5,1,55.07839867,55.56800083,55.56800083,55.57249537,55.85517571,right,1,1,1,0.65515254,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
41,0.5,1,56.24344475,56.73470833,56.73470833,56.73894142,57.02184325,left,-1,1,1,0.525641207,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
42,0.5,1,57.27686525,57.76813246,57.76813246,57.77228675,58.05532346,right,1,1,1,0.475574166,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
43,0.5,1,58.26093804,58.75146925,58.75146925,58.75579463,59.03922362,left,-1,1,1,0.504635208,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
44,0.5,1,59.27714937,59.76816625,59.76816625,59.77235717,60.0550195,left,-1,1,1,0.585671582,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
45,0.5,1,60.36814871,60.85155521,60.85155521,60.85666642,61.13805504,right,1,1,1,0.574281374,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
46,0.5,1,61.4440655,61.93476508,61.93476508,61.93882817,62.22165787,left,-1,1,1,0.502294833,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
